"seqnames"	"start"	"end"	"width"	"strand"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENSEMBL"	"SYMBOL"	"GENENAME"
"chr1"	66751501	66751775	275	"*"	"MACS2_peak_213"	11	"."	3.37637	4.2409	1.18174	"Promoter (<=1kb)"	1	66752459	66770896	18438	1	"200132"	"uc057hij.1"	-684	"ENSG00000152760"	"TCTEX1D1"	"Tctex1 domain containing 1"
"chr1"	75126268	75127811	1544	"*"	"MACS2_peak_222"	17	"."	3.6706	5.0544	1.77138	"Promoter (<=1kb)"	1	75128434	75161533	33100	1	"431707"	"uc001dgo.3"	-623	"ENSG00000162624"	"LHX8"	"LIM homeobox 8"
"chr1"	75128939	75130024	1086	"*"	"MACS2_peak_223"	27	"."	4.16027	6.40196	2.70821	"Promoter (<=1kb)"	1	75128434	75161533	33100	1	"431707"	"uc001dgo.3"	505	"ENSG00000162624"	"LHX8"	"LIM homeobox 8"
"chr1"	75131272	75132259	988	"*"	"MACS2_peak_224"	14	"."	2.89385	4.48847	1.41524	"Promoter (2-3kb)"	1	75134882	75161533	26652	1	"431707"	"uc031pmx.1"	-2623	"ENSG00000162624"	"LHX8"	"LIM homeobox 8"
"chr1"	75133750	75134816	1067	"*"	"MACS2_peak_225"	20	"."	3.5719	5.39629	2.02407	"Promoter (<=1kb)"	1	75134882	75161533	26652	1	"431707"	"uc031pmx.1"	-66	"ENSG00000162624"	"LHX8"	"LIM homeobox 8"
"chr1"	76865894	76866245	352	"*"	"MACS2_peak_230"	14	"."	3.31122	4.52171	1.45362	"Promoter (1-2kb)"	1	76867441	77065711	198271	1	"81849"	"uc001dhi.4"	-1196	"ENSG00000117069"	"ST6GALNAC5"	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5"
"chr1"	77283467	77283702	236	"*"	"MACS2_peak_232"	34	"."	4.49871	7.31429	3.47482	"Promoter (<=1kb)"	1	77283079	77297856	14778	1	"26289"	"uc057htb.1"	388	"ENSG00000154027"	"AK5"	"adenylate kinase 5"
"chr1"	90707638	90709049	1412	"*"	"MACS2_peak_260"	15	"."	3.1853	4.58988	1.50335	"Downstream (2-3kb)"	1	90711539	90717237	5699	2	"343472"	"uc001dns.4"	8188	"ENSG00000143032"	"BARHL2"	"BarH like homeobox 2"
"chr1"	90728281	90731451	3171	"*"	"MACS2_peak_261"	14	"."	3.34179	4.54077	1.44266	"Distal Intergenic"	1	90711539	90717237	5699	2	"343472"	"uc001dns.4"	-11044	"ENSG00000143032"	"BARHL2"	"BarH like homeobox 2"
"chr1"	90833082	90834173	1092	"*"	"MACS2_peak_264"	15	"."	3.65243	4.83222	1.54211	"Intron (uc284mra.1/105378853, intron 1 of 2)"	1	90782986	90851515	68530	2	"105378853"	"uc057ifl.1"	17342	"ENSG00000233593"	"LOC105378853"	"uncharacterized LOC105378853"
"chr1"	90836696	90837631	936	"*"	"MACS2_peak_265"	13	"."	3.43809	4.42847	1.3876	"Exon (uc284mrb.1/105378853, exon 2 of 5)"	1	90782986	90851515	68530	2	"105378853"	"uc057ifl.1"	13884	"ENSG00000233593"	"LOC105378853"	"uncharacterized LOC105378853"
"chr1"	90840527	90841010	484	"*"	"MACS2_peak_266"	17	"."	3.77404	5.11474	1.75495	"Intron (uc284mra.1/105378853, intron 1 of 2)"	1	90782986	90851515	68530	2	"105378853"	"uc057ifl.1"	10505	"ENSG00000233593"	"LOC105378853"	"uncharacterized LOC105378853"
"chr1"	99005515	99006687	1173	"*"	"MACS2_peak_278"	15	"."	3.51265	4.75133	1.5641	"Promoter (<=1kb)"	1	98890245	99005032	114788	2	"163404"	"uc001dsc.4"	-483	"ENSG00000117598"	"PLPPR5"	"phospholipid phosphatase related 5"
"chr1"	109396232	109397286	1055	"*"	"MACS2_peak_289"	20	"."	3.88699	5.47917	2.03113	"Promoter (<=1kb)"	1	109369530	109397861	28332	2	"6272"	"uc057iyt.2"	575	"ENSG00000134243"	"SORT1"	"sortilin 1"
"chr1"	109467536	109469094	1559	"*"	"MACS2_peak_291"	16	"."	3.44304	4.82834	1.65498	"Promoter (<=1kb)"	1	109466628	109482137	15510	1	"284612"	"uc001dxp.4"	908	"ENSG00000143028"	"SYPL2"	"synaptophysin like 2"
"chr1"	110082579	110083465	887	"*"	"MACS2_peak_294"	19	"."	3.62845	5.26391	1.97518	"Promoter (<=1kb)"	1	110082688	110109719	27032	1	"104355139"	"uc057jdb.1"	0	"ENSG00000258673"	"LINC01397"	"long intergenic non-protein coding RNA 1397"
"chr1"	110675682	110675882	201	"*"	"MACS2_peak_296"	28	"."	4.39896	6.58003	2.81509	"Promoter (<=1kb)"	1	110672465	110675033	2569	2	"3738"	"uc001dzv.3"	-649	"ENSG00000177272"	"KCNA3"	"potassium voltage-gated channel subfamily A member 3"
"chr1"	111270096	111270371	276	"*"	"MACS2_peak_297"	28	"."	4.33645	6.50104	2.81157	"Distal Intergenic"	1	111290862	111320557	29696	1	"27159"	"uc001eat.5"	-20491	"ENSG00000134216"	"CHIA"	"chitinase, acidic"
"chr1"	113278461	113278954	494	"*"	"MACS2_peak_306"	11	"."	3.32253	4.12788	1.11643	"Distal Intergenic"	1	113390749	113682434	291686	1	"260425"	"uc001edh.4"	-111795	"ENSG00000081026"	"MAGI3"	"membrane associated guanylate kinase, WW and PDZ domain containing 3"
"chr1"	114915283	114916059	777	"*"	"MACS2_peak_317"	17	"."	3.79284	5.1622	1.79683	"Intron (uc001efr.5/6847, intron 20 of 31)"	1	114910198	114923634	13437	1	"6847"	"uc057jqy.1"	5085	"ENSG00000198765"	"SYCP1"	"synaptonemal complex protein 1"
"chr1"	118978402	118980297	1896	"*"	"MACS2_peak_334"	23	"."	3.97928	5.83211	2.37805	"Intron (uc001ehl.2/6913, intron 1 of 7)"	1	118883047	118987805	104759	2	"6913"	"uc057jut.1"	7508	"ENSG00000092607"	"TBX15"	"T-box 15"
"chr1"	118982334	118983157	824	"*"	"MACS2_peak_335"	19	"."	3.4489	5.3904	1.97219	"Promoter (4-5kb)"	1	118883047	118987805	104759	2	"6913"	"uc057jut.1"	4648	"ENSG00000092607"	"TBX15"	"T-box 15"
"chr1"	118999040	119000308	1269	"*"	"MACS2_peak_338"	12	"."	3.17129	4.24532	1.22574	"Promoter (1-2kb)"	1	119000344	119001392	1049	2	"105378933"	"uc057juu.1"	1084	"ENSG00000226172"	"LOC105378933"	"uncharacterized LOC105378933"
"chr1"	119004949	119006190	1242	"*"	"MACS2_peak_339"	16	"."	3.12602	4.81663	1.61847	"Promoter (3-4kb)"	1	119000618	119001405	788	2	"105378933"	"uc057juv.1"	-3544	"ENSG00000226172"	"LOC105378933"	"uncharacterized LOC105378933"
"chr1"	120133171	120133575	405	"*"	"MACS2_peak_350"	19	"."	3.89738	5.38789	1.93931	"Distal Intergenic"	1	120157291	120160501	3211	2	"9554"	"uc057jwi.1"	26926	"ENSG00000265808"	"SEC22B"	"SEC22 homolog B, vesicle trafficking protein (gene/pseudogene)"
"chr1"	121051523	121052726	1204	"*"	"MACS2_peak_382"	17	"."	3.3202	4.99011	1.72796	"Exon (uc057jxa.1/uc057jxa.1, exon 1 of 3)"	1	121087345	121093021	5677	1	"2210"	"uc057jxd.1"	-34619	"ENSG00000198019"	"FCGR1B"	"Fc fragment of IgG receptor Ib"
"chr1"	124514030	124514355	326	"*"	"MACS2_peak_560"	17	"."	2.33222	5.06931	1.78714	"Distal Intergenic"	1	121397478	121398806	1329	2	"100873165"	"uc057jxy.1"	-3115224	"ENSG00000230806"	"SRGAP2-AS1"	"SRGAP2 antisense RNA 1"
"chr1"	143839348	143840120	773	"*"	"MACS2_peak_619"	19	"."	3.13817	5.217	1.91379	"Distal Intergenic"	1	143729407	143729570	164	2	"26863"	"uc031uqm.1"	-109778	"ENSG00000206737"	"RNVU1-18"	"RNA, variant U1 small nuclear 18"
"chr1"	143868148	143870032	1885	"*"	"MACS2_peak_621"	14	"."	3.58827	4.6958	1.46098	"Distal Intergenic"	1	143955364	143971965	16602	2	"554282"	"uc031uqs.2"	101933	"ENSG00000263513"	"FAM72C"	"family with sequence similarity 72 member C"
"chr1"	144073923	144076181	2259	"*"	"MACS2_peak_638"	24	"."	3.89281	5.86693	2.42193	"Distal Intergenic"	1	143955878	143971965	16088	2	"554282"	"uc031uqt.2"	-101958	"ENSG00000263513"	"FAM72C"	"family with sequence similarity 72 member C"
"chr1"	144320192	144322602	2411	"*"	"MACS2_peak_651"	20	"."	3.90776	5.46146	2.0159	"Distal Intergenic"	1	144372875	144373659	785	2	"730262"	"uc010paz.2"	51057	"ENSG00000271567"	"PPIAL4E"	"peptidylprolyl isomerase A like 4E"
"chr1"	144643292	144646331	3040	"*"	"MACS2_peak_670"	17	"."	3.76889	5.11903	1.77228	"Promoter (1-2kb)"	1	144641371	144919902	278532	1	"100873165"	"uc031urk.2"	1921	"ENSG00000230806"	"SRGAP2-AS1"	"SRGAP2 antisense RNA 1"
"chr1"	144879282	144881770	2489	"*"	"MACS2_peak_680"	31	"."	4.54193	6.94934	3.19066	"Intron (uc031urk.2/100873165, intron 2 of 3)"	1	144897236	144955446	58211	2	"647135"	"uc057jzk.1"	73676	"ENSG00000196369"	"SRGAP2B"	"SLIT-ROBO Rho GTPase activating protein 2B"
"chr1"	144884978	144886612	1635	"*"	"MACS2_peak_681"	16	"."	3.74171	5.03387	1.68337	"Intron (uc031urk.2/100873165, intron 2 of 3)"	1	144897236	144955446	58211	2	"647135"	"uc057jzk.1"	68834	"ENSG00000196369"	"SRGAP2B"	"SLIT-ROBO Rho GTPase activating protein 2B"
"chr1"	145265830	145267530	1701	"*"	"MACS2_peak_709"	20	"."	3.95091	5.53461	2.08529	"Distal Intergenic"	1	145281116	145281279	164	1	"101954266"	"uc031usn.1"	-13586	"ENSG00000207501"	"RNVU1-14"	"RNA, variant U1 small nuclear 14"
"chr1"	145454936	145455169	234	"*"	"MACS2_peak_737"	17	"."	3.17141	5.02234	1.74205	"Distal Intergenic"	1	145289900	145405778	115879	2	"100288142"	"uc031usr.1"	-49158	"ENSG00000162825"	"NBPF20"	"NBPF member 20"
"chr1"	146984521	146985386	866	"*"	"MACS2_peak_796"	15	"."	3.65565	4.84477	1.56019	"3' UTR"	1	146959971	146996198	36228	1	"149013"	"uc057kdu.1"	24550	"ENSG00000268043"	"NBPF12"	"NBPF member 12"
"chr1"	146988225	146990153	1929	"*"	"MACS2_peak_797"	15	"."	3.66472	4.8639	1.57141	"3' UTR"	1	146959971	146996198	36228	1	"149013"	"uc057kdu.1"	28254	"ENSG00000268043"	"NBPF12"	"NBPF member 12"
"chr1"	148220689	148221606	918	"*"	"MACS2_peak_819"	11	"."	3.32253	4.12788	1.11643	"Promoter (1-2kb)"	1	148208094	148218888	10795	2	"101927468"	"uc057kgv.1"	-1801	NA	"LOC101927468"	"uncharacterized LOC101927468"
"chr1"	149747965	149748984	1020	"*"	"MACS2_peak_923"	20	"."	3.39485	5.49318	2.09963	"Distal Intergenic"	1	149782671	149791390	8720	1	"2209"	"uc057klg.1"	-33687	"ENSG00000150337"	"FCGR1A"	"Fc fragment of IgG receptor Ia"
"chr1"	151720714	151721111	398	"*"	"MACS2_peak_927"	11	"."	3.04772	3.87019	1.10067	"Promoter (<=1kb)"	1	151721537	151729600	8064	1	"284485"	"uc010pdj.2"	-426	"ENSG00000178796"	"RIIAD1"	"regulatory subunit of type II PKA R-subunit (RIIa) domain containing 1"
"chr1"	153262276	153263584	1309	"*"	"MACS2_peak_932"	30	"."	4.47414	6.78965	3.05974	"Promoter (2-3kb)"	1	153259700	153262122	2423	1	"4014"	"uc001fbm.4"	2576	"ENSG00000203782"	"LOR"	"loricrin"
"chr1"	154048267	154049228	962	"*"	"MACS2_peak_935"	11	"."	3.32253	4.12788	1.11643	"Intron (uc001fdw.4/91181, intron 25 of 39)"	1	153992690	154056866	64177	2	"91181"	"uc057lfv.1"	7638	"ENSG00000143552"	"NUP210L"	"nucleoporin 210 like"
"chr1"	156434342	156434968	627	"*"	"MACS2_peak_940"	12	"."	3.13322	4.34632	1.2917	"Promoter (3-4kb)"	1	156425637	156430701	5065	2	"10485"	"uc001fpa.4"	-3641	"ENSG00000125462"	"C1orf61"	"chromosome 1 open reading frame 61"
"chr1"	156439946	156440145	200	"*"	"MACS2_peak_941"	12	"."	2.96454	4.16847	1.20172	"Distal Intergenic"	1	156425637	156430701	5065	2	"10485"	"uc001fpa.4"	-9245	"ENSG00000125462"	"C1orf61"	"chromosome 1 open reading frame 61"
"chr1"	156441638	156442459	822	"*"	"MACS2_peak_942"	13	"."	3.17588	4.39771	1.36366	"Distal Intergenic"	1	156425637	156430701	5065	2	"10485"	"uc001fpa.4"	-10937	"ENSG00000125462"	"C1orf61"	"chromosome 1 open reading frame 61"
"chr1"	156642926	156643141	216	"*"	"MACS2_peak_944"	15	"."	3.3052	4.78012	1.59675	"Promoter (<=1kb)"	1	156642243	156653472	11230	1	"63827"	"uc001fpo.4"	683	"ENSG00000132692"	"BCAN"	"brevican"
"chr1"	162071489	162071697	209	"*"	"MACS2_peak_957"	28	"."	4.41556	6.57629	2.80364	"Promoter (1-2kb)"	1	162070090	162367492	297403	1	"9722"	"uc057mug.1"	1399	"ENSG00000198929"	"NOS1AP"	"nitric oxide synthase 1 adaptor protein"
"chr1"	165350304	165351245	942	"*"	"MACS2_peak_968"	17	"."	3.64028	4.96888	1.73119	"Promoter (4-5kb)"	1	165203874	165355746	151873	2	"4009"	"uc057mxz.1"	4501	"ENSG00000162761"	"LMX1A"	"LIM homeobox transcription factor 1 alpha"
"chr1"	166974518	166975124	607	"*"	"MACS2_peak_972"	19	"."	3.89058	5.4139	1.95053	"Promoter (<=1kb)"	1	166908191	166975324	67134	2	"387597"	"uc001gdx.3"	200	"ENSG00000143195"	"ILDR2"	"immunoglobulin like domain containing receptor 2"
"chr1"	177169862	177170111	250	"*"	"MACS2_peak_993"	12	"."	3.44076	4.37608	1.25985	"Promoter (1-2kb)"	1	177171497	177282422	110926	1	"57795"	"uc001glf.3"	-1386	"ENSG00000198797"	"BRINP2"	"BMP/retinoic acid inducible neural specific 2"
"chr1"	179742009	179742611	603	"*"	"MACS2_peak_999"	11	"."	2.91655	4.03532	1.14919	"Promoter (<=1kb)"	1	179743163	179816198	73036	1	"148753"	"uc001gnj.3"	-552	"ENSG00000143340"	"FAM163A"	"family with sequence similarity 163 member A"
"chr1"	179744954	179745861	908	"*"	"MACS2_peak_1000"	13	"."	3.16733	4.27053	1.31909	"Promoter (1-2kb)"	1	179743163	179816198	73036	1	"148753"	"uc001gnj.3"	1791	"ENSG00000143340"	"FAM163A"	"family with sequence similarity 163 member A"
"chr1"	180236360	180240028	3669	"*"	"MACS2_peak_1002"	16	"."	3.39898	4.83422	1.66405	"Intron (uc001goe.3/89884, intron 1 of 5)"	1	180230298	180248697	18400	1	"89884"	"uc057nro.1"	6062	"ENSG00000121454"	"LHX4"	"LIM homeobox 4"
"chr1"	183328800	183329688	889	"*"	"MACS2_peak_1012"	17	"."	3.79923	5.1532	1.74917	"Intron (uc001gqc.3/23057, intron 1 of 10)"	1	183248237	183304874	56638	2	"23057"	"uc001gqb.2"	-23926	"ENSG00000157064"	"NMNAT2"	"nicotinamide nucleotide adenylyltransferase 2"
"chr1"	184190162	184190520	359	"*"	"MACS2_peak_1014"	18	"."	3.86382	5.30959	1.87885	"Distal Intergenic"	1	184054361	184055069	709	1	"116461"	"uc057nwq.1"	135801	"ENSG00000198860"	"TSEN15"	"tRNA splicing endonuclease subunit 15"
"chr1"	197908434	197908973	540	"*"	"MACS2_peak_1029"	11	"."	3.10026	4.03383	1.18621	"Promoter (2-3kb)"	1	197905517	197907364	1848	1	"388722"	"uc057ody.1"	2917	"ENSG00000203724"	"C1orf53"	"chromosome 1 open reading frame 53"
"chr1"	197910141	197910846	706	"*"	"MACS2_peak_1030"	45	"."	4.63051	8.37971	4.50889	"Promoter (1-2kb)"	1	197911902	197917991	6090	1	"56956"	"uc057odz.1"	-1056	"ENSG00000143355"	"LHX9"	"LIM homeobox 9"
"chr1"	200033124	200034309	1186	"*"	"MACS2_peak_1035"	24	"."	3.79718	5.9895	2.42087	"Intron (uc001gvb.5/2494, intron 1 of 7)"	1	200027883	200039769	11887	1	"2494"	"uc057off.1"	5241	"ENSG00000116833"	"NR5A2"	"nuclear receptor subfamily 5 group A member 2"
"chr1"	200247221	200248955	1735	"*"	"MACS2_peak_1036"	31	"."	4.43584	6.73972	3.10126	"Distal Intergenic"	1	200342544	200373792	31249	2	"554279"	"uc001gvd.1"	124837	"ENSG00000203721"	"LINC00862"	"long intergenic non-protein coding RNA 862"
"chr1"	201210323	201210587	265	"*"	"MACS2_peak_1040"	11	"."	3.09927	4.02223	1.18799	"Promoter (2-3kb)"	1	201212642	201228952	16311	1	"91156"	"uc057ogu.1"	-2055	"ENSG00000163395"	"IGFN1"	"immunoglobulin-like and fibronectin type III domain containing 1"
"chr1"	204608081	204608308	228	"*"	"MACS2_peak_1051"	13	"."	3.53823	4.58653	1.39071	"Intron (uc057org.1/uc057org.1, intron 1 of 2)"	1	204542789	204549388	6600	1	"4194"	"uc057ore.1"	65292	"ENSG00000198625"	"MDM4"	"MDM4, p53 regulator"
"chr1"	204827001	204828042	1042	"*"	"MACS2_peak_1052"	14	"."	3.56579	4.66326	1.46865	"Promoter (<=1kb)"	1	204828651	205010924	182274	1	"23114"	"uc057ork.1"	-609	"ENSG00000163531"	"NFASC"	"neurofascin"
"chr1"	205424270	205425459	1190	"*"	"MACS2_peak_1055"	17	"."	3.72989	5.02251	1.70203	"Promoter (2-3kb)"	1	205381378	205422054	40677	2	"93273"	"uc001hcj.4"	-2216	"ENSG00000186007"	"LEMD1"	"LEM domain containing 1"
"chr1"	205567734	205568658	925	"*"	"MACS2_peak_1056"	18	"."	3.15089	5.07129	1.8105	"Promoter (<=1kb)"	1	205568885	205599251	30367	1	"148808"	"uc057ouc.1"	-227	"ENSG00000174514"	"MFSD4A"	"major facilitator superfamily domain containing 4A"
"chr1"	207455368	207456533	1166	"*"	"MACS2_peak_1085"	12	"."	3.46123	4.4233	1.29409	"Promoter (<=1kb)"	1	207454651	207466756	12106	1	"1380"	"uc057ozk.1"	717	"ENSG00000117322"	"CR2"	"complement C3d receptor 2"
"chr1"	207668454	207668903	450	"*"	"MACS2_peak_1088"	16	"."	3.54572	4.81048	1.61223	"Promoter (<=1kb)"	1	207669116	207678267	9152	1	"1379"	"uc057pad.1"	-213	"ENSG00000197721"	"CR1L"	"complement C3b/C4b receptor 1 like"
"chr1"	207670207	207671160	954	"*"	"MACS2_peak_1089"	13	"."	3.43635	4.46299	1.33844	"Promoter (<=1kb)"	1	207669439	207710818	41380	1	"1379"	"uc057pae.1"	768	"ENSG00000197721"	"CR1L"	"complement C3b/C4b receptor 1 like"
